backbone,condition,file,turn,val_t,aro_t,val_s,aro_s,text_emotion,speech_emotion
claude,multimodal,dissonance_20_full_multimodal.json,8,0.007944822311401367,0.13607454299926758,0.06748926639556885,0.2797977924346924,Neutral,Tense
claude,multimodal,dissonance_20_full_multimodal.json,9,-0.00021064281463623047,0.16292095184326172,-0.044461727142333984,0.19969189167022705,Tense,Tense
claude,multimodal,dissonance_20_full_multimodal.json,10,-0.14017927646636963,0.1182481050491333,-0.2021925449371338,-0.09269315004348755,Angry,Depressed
claude,multimodal,dissonance_21_full_multimodal.json,1,-0.30990564823150635,0.21413815021514893,-0.09700411558151245,0.18822622299194336,Angry,Angry
claude,multimodal,dissonance_21_full_multimodal.json,2,0.03283655643463135,0.1671583652496338,-0.3235280513763428,0.1567624807357788,Tense,Angry
claude,multimodal,dissonance_21_full_multimodal.json,3,-0.34781503677368164,0.13453328609466553,-0.33116084337234497,0.3047991991043091,Sad,Angry
claude,multimodal,dissonance_21_full_multimodal.json,4,-0.07330620288848877,-0.01264941692352295,-0.06215864419937134,-0.17481213808059692,Neutral,Calm
claude,multimodal,dissonance_21_full_multimodal.json,5,-0.109000563621521,0.1124037504196167,-0.03422826528549194,0.09275352954864502,Angry,Neutral
claude,multimodal,dissonance_21_full_multimodal.json,6,0.0031088590621948242,0.05975508689880371,-0.21194475889205933,0.09033918380737305,Neutral,Angry
claude,multimodal,dissonance_21_full_multimodal.json,7,-0.15203487873077393,0.18178236484527588,-0.020313739776611328,-0.02632385492324829,Angry,Neutral
claude,multimodal,dissonance_21_full_multimodal.json,8,-0.08761394023895264,0.12736618518829346,0.012990593910217285,-0.00420910120010376,Angry,Neutral
claude,multimodal,dissonance_21_full_multimodal.json,9,-0.20521080493927002,0.1948986053466797,-0.28990691900253296,-0.06403076648712158,Angry,Sad
claude,multimodal,dissonance_21_full_multimodal.json,10,-0.26938021183013916,0.2540491819381714,-0.22863292694091797,0.13300669193267822,Angry,Angry
claude,multimodal,dissonance_22_full_multimodal.json,1,-0.2687035799026489,0.20609045028686523,-0.426741361618042,0.1745767593383789,Angry,Sad
claude,multimodal,dissonance_22_full_multimodal.json,2,-0.27626705169677734,0.25166356563568115,-0.27225810289382935,-0.03601396083831787,Angry,Sad
claude,multimodal,dissonance_22_full_multimodal.json,3,-0.24173271656036377,0.11468505859375,0.039459228515625,0.2908756732940674,Angry,Tense
claude,multimodal,dissonance_22_full_multimodal.json,4,-0.10539901256561279,0.10343444347381592,0.08546829223632812,0.05553293228149414,Neutral,Neutral
claude,multimodal,dissonance_22_full_multimodal.json,5,-0.14152896404266357,0.18772482872009277,-0.34270423650741577,0.15089333057403564,Angry,Angry
claude,multimodal,dissonance_22_full_multimodal.json,6,0.002998948097229004,0.16171443462371826,0.08497512340545654,0.17857730388641357,Tense,Excited
claude,multimodal,dissonance_22_full_multimodal.json,7,-0.21615171432495117,0.18730175495147705,-0.19789206981658936,0.28973710536956787,Angry,Angry
claude,multimodal,dissonance_22_full_multimodal.json,8,-0.22960710525512695,0.2204519510269165,-0.016532838344573975,0.06254732608795166,Angry,Neutral
claude,multimodal,dissonance_22_full_multimodal.json,9,-0.1284923553466797,0.23314762115478516,-0.06509751081466675,0.19586598873138428,Angry,Tense
claude,multimodal,dissonance_22_full_multimodal.json,10,-0.038815975189208984,0.11875784397125244,0.023151159286499023,-0.01890188455581665,Neutral,Neutral
claude,multimodal,dissonance_23_full_multimodal.json,1,-0.34523212909698486,0.18063795566558838,-0.4098657965660095,-0.4595296382904053,Angry,Depressed
